Date,Code,Open,High,Low,Close,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2024-11-14,72030,2718,2745,2666,2666,24174400,65405019350,1,2718,2745,2666,2666,24174400
2024-11-15,72030,2703.5,2745,2699,2704,26581600,72306272000,1,2703.5,2745,2699,2704,26581600
2024-11-18,72030,2674.5,2695.5,2663.5,2676,17020700,45539021100,1,2674.5,2695.5,2663.5,2676,17020700
2024-11-19,72030,2700,2737,2694.5,2730.5,19141700,52114414000,1,2700,2737,2694.5,2730.5,19141700
2024-11-20,72030,2734,2743.5,2691.5,2698.5,15762100,42705338450,1,2734,2743.5,2691.5,2698.5,15762100
2024-11-21,72030,2706.5,2712,2674.5,2674.5,16002400,42980151800,1,2706.5,2712,2674.5,2674.5,16002400
2024-11-22,72030,2696,2703.5,2664.5,2664.5,17121200,45895383850,1,2696,2703.5,2664.5,2664.5,17121200
2024-11-25,72030,2709,2729.5,2691.5,2694.5,30731900,83037647000,1,2709,2729.5,2691.5,2694.5,30731900
2024-11-26,72030,2694,2697,2616,2667.5,25146500,66674618200,1,2694,2697,2616,2667.5,25146500
2024-11-27,72030,2600,2607.5,2552.5,2571,29465300,75913612500,1,2600,2607.5,2552.5,2571,29465300
2024-11-28,72030,2591,2611.5,2563.5,2607,19673700,50978661300,1,2591,2611.5,2563.5,2607,19673700
2024-11-29,72030,2612,2618,2546.5,2551.5,24496900,62746484950,1,2612,2618,2546.5,2551.5,24496900
2024-12-02,72030,2565,2620.5,2557,2611,20253600,52575506050,1,2565,2620.5,2557,2611,20253600
2024-12-03,72030,2611,2665,2604,2652,28572300,75537365500,1,2611,2665,2604,2652,28572300
2024-12-04,72030,2634.5,2657.5,2611.5,2631,19005600,50081952150,1,2634.5,2657.5,2611.5,2631,19005600
2024-12-05,72030,2649,2649.5,2613,2632,20694400,54416064100,1,2649,2649.5,2613,2632,20694400
2024-12-06,72030,2647,2652,2617,2629,12808400,33692076700,1,2647,2652,2617,2629,12808400
2024-12-09,72030,2629,2645.5,2625,2645.5,17182100,45349451750,1,2629,2645.5,2625,2645.5,17182100
2024-12-10,72030,2685.5,2700,2667.5,2679.5,29297100,78594422400,1,2685.5,2700,2667.5,2679.5,29297100
2024-12-11,72030,2693.5,2699.5,2667,2682.5,17726800,47519929950,1,2693.5,2699.5,2667,2682.5,17726800
2024-12-12,72030,2715,2724,2703,2718.5,23514500,63866677600,1,2715,2724,2703,2718.5,23514500
2024-12-13,72030,2668.5,2697.5,2668.5,2697.5,22366300,59948653800,1,2668.5,2697.5,2668.5,2697.5,22366300
2024-12-16,72030,2698,2715,2684,2692,13700000,36925293750,1,2698,2715,2684,2692,13700000
2024-12-17,72030,2688,2709.5,2670,2672.5,17335100,46590001500,1,2688,2709.5,2670,2672.5,17335100
2024-12-18,72030,2691,2738.5,2690,2726.5,21766700,59227874950,1,2691,2738.5,2690,2726.5,21766700
2024-12-19,72030,2676.5,2726,2664,2724,17912000,48427800150,1,2676.5,2726,2664,2724,17912000
2024-12-20,72030,2748.5,2807.5,2735.5,2771.5,51442500,143077434850,1,2748.5,2807.5,2735.5,2771.5,51442500
2024-12-23,72030,2805,2839,2784,2837,25299700,71394197400,1,2805,2839,2784,2837,25299700
2024-12-24,72030,2850,2858,2829,2835,19906300,56561765350,1,2850,2858,2829,2835,19906300
2024-12-25,72030,2830,2964.5,2792.5,2964.5,55113700,160275441000,1,2830,2964.5,2792.5,2964.5,55113700
2024-12-26,72030,3000,3164,2995,3142,63975100,198971762100,1,3000,3164,2995,3142,63975100
2024-12-27,72030,3204,3220,3154,3188,49315300,157339160500,1,3204,3220,3154,3188,49315300
2024-12-30,72030,3182,3189,3136,3146,24224200,76443747900,1,3182,3189,3136,3146,24224200
2025-01-06,72030,3103,3104,3000,3011,41298500,125154283500,1,3103,3104,3000,3011,41298500
2025-01-07,72030,3004,3127,2994.5,3052,44700900,136474223950,1,3004,3127,2994.5,3052,44700900
2025-01-08,72030,3050,3093,3042,3073,24570000,75494204700,1,3050,3093,3042,3073,24570000
2025-01-09,72030,3070,3071,2997.5,3005,26998400,81483498300,1,3070,3071,2997.5,3005,26998400
2025-01-10,72030,2989,3027,2928,2932,26369200,78313931200,1,2989,3027,2928,2932,26369200
2025-01-14,72030,2932,2983,2898,2907.5,28127600,82301633600,1,2932,2983,2898,2907.5,28127600
2025-01-15,72030,2930.5,2943.5,2891.5,2901,20709300,60317623100,1,2930.5,2943.5,2891.5,2901,20709300
2025-01-16,72030,2890,2894,2821,2837,25970400,73837064600,1,2890,2894,2821,2837,25970400
2025-01-17,72030,2819,2831.5,2786.5,2788,22690400,63466833950,1,2819,2831.5,2786.5,2788,22690400
2025-01-20,72030,2837,2894.5,2830,2870,25039100,71742211050,1,2837,2894.5,2830,2870,25039100
2025-01-21,72030,2920,2956.5,2853.5,2875.5,28584700,82764498350,1,2920,2956.5,2853.5,2875.5,28584700
2025-01-22,72030,2900,2935,2892.5,2915.5,24169400,70503279650,1,2900,2935,2892.5,2915.5,24169400
2025-01-23,72030,2893,2928,2857,2925,21725600,63050742750,1,2893,2928,2857,2925,21725600
2025-01-24,72030,2894,2931.5,2863,2882.5,24980800,72383728300,1,2894,2931.5,2863,2882.5,24980800
2025-01-27,72030,2913.5,2941.5,2910.5,2922,18257200,53406841700,1,2913.5,2941.5,2910.5,2922,18257200
2025-01-28,72030,2900,2936,2889.5,2889.5,18314000,53208832600,1,2900,2936,2889.5,2889.5,18314000
2025-01-29,72030,2917,2936.5,2898.5,2930,17997800,52580526350,1,2917,2936.5,2898.5,2930,17997800
2025-01-30,72030,2927,2963.5,2922.5,2949,18783700,55357206000,1,2927,2963.5,2922.5,2949,18783700
2025-01-31,72030,2936,2988,2921,2973.5,20964200,62094641800,1,2936,2988,2921,2973.5,20964200
2025-02-03,72030,2825,2871,2801,2824.5,40169700,113381961750,1,2825,2871,2801,2824.5,40169700
2025-02-04,72030,2907.5,2923,2868,2873,25931800,75119799000,1,2907.5,2923,2868,2873,25931800
2025-02-05,72030,2893,3025,2845,2963,61048300,179530367650,1,2893,3025,2845,2963,61048300
2025-02-06,72030,2961,3016,2895,2903.5,37833500,111081446450,1,2961,3016,2895,2903.5,37833500
2025-02-07,72030,2860,2876.5,2817,2824.5,28713500,81371710250,1,2860,2876.5,2817,2824.5,28713500
2025-02-10,72030,2826,2843,2814,2825.5,18868200,53382838750,1,2826,2843,2814,2825.5,18868200
2025-02-12,72030,2805,2812,2760.5,2800,29015300,80913828350,1,2805,2812,2760.5,2800,29015300
2025-02-13,72030,2850,2868,2825.5,2825.5,26458600,75255326350,1,2850,2868,2825.5,2825.5,26458600
2025-02-14,72030,2868.5,2882,2803.5,2804.5,23997400,67851645800,1,2868.5,2882,2803.5,2804.5,23997400
2025-02-17,72030,2793.5,2799.5,2738.5,2773.5,25063500,69221395750,1,2793.5,2799.5,2738.5,2773.5,25063500
2025-02-18,72030,2766,2829,2757,2804,18272300,51047984200,1,2766,2829,2757,2804,18272300
2025-02-19,72030,2765,2791.5,2744,2755.5,19526100,53915311450,1,2765,2791.5,2744,2755.5,19526100
2025-02-20,72030,2730.5,2731,2686,2710.5,22794100,61660697100,1,2730.5,2731,2686,2710.5,22794100
2025-02-21,72030,2686,2711,2678,2706,21153300,57044872800,1,2686,2711,2678,2706,21153300
2025-02-25,72030,2650,2718,2650,2710.5,20544600,55295116450,1,2650,2718,2650,2710.5,20544600
2025-02-26,72030,2701.5,2729.5,2668.5,2725,20266800,54775147350,1,2701.5,2729.5,2668.5,2725,20266800
2025-02-27,72030,2735.5,2784,2732.5,2784,22615000,62642289900,1,2735.5,2784,2732.5,2784,22615000
2025-02-28,72030,2736,2745.5,2689,2689,93767000,252793152450,1,2736,2745.5,2689,2689,93767000
2025-03-03,72030,2744.5,2802,2723.5,2795,24143500,67134936300,1,2744.5,2802,2723.5,2795,24143500
2025-03-04,72030,2745,2776.5,2725,2753.5,25099600,68913530800,1,2745,2776.5,2725,2753.5,25099600
2025-03-05,72030,2775,2875,2765,2849.5,36898700,104712925250,1,2775,2875,2765,2849.5,36898700
2025-03-06,72030,2860,2886,2817.5,2822.5,24713900,70174896700,1,2860,2886,2817.5,2822.5,24713900
2025-03-07,72030,2749.5,2803,2749.5,2803,25194200,70190090100,1,2749.5,2803,2749.5,2803,25194200
2025-03-10,72030,2813,2842,2793.5,2829,17383800,49076263000,1,2813,2842,2793.5,2829,17383800
2025-03-11,72030,2770.5,2779.5,2713,2754.5,32542100,89303436700,1,2770.5,2779.5,2713,2754.5,32542100
2025-03-12,72030,2750,2766,2730,2761.5,23961100,65982290050,1,2750,2766,2730,2761.5,23961100
2025-03-13,72030,2760,2764,2719,2719,26657300,72939560200,1,2760,2764,2719,2719,26657300
2025-03-14,72030,2722.5,2783.5,2722.5,2746.5,32732200,90025405700,1,2722.5,2783.5,2722.5,2746.5,32732200
2025-03-17,72030,2750,2792,2750,2760.5,20673100,57150382000,1,2750,2792,2750,2760.5,20673100
2025-03-18,72030,2799,2857,2798,2839,29267300,83097367700,1,2799,2857,2798,2839,29267300
2025-03-19,72030,2864,2927,2864,2892,25594700,74262146800,1,2864,2927,2864,2892,25594700
2025-03-21,72030,2851,2890,2838,2844.5,29746000,84959189500,1,2851,2890,2838,2844.5,29746000
2025-03-24,72030,2874,2889.5,2849.5,2863,17186800,49289358950,1,2874,2889.5,2849.5,2863,17186800
2025-03-25,72030,2916,2961,2870.5,2882.5,24978200,72763195950,1,2916,2961,2870.5,2882.5,24978200
2025-03-26,72030,2898.5,2899.5,2845.5,2887.5,25294300,72752511500,1,2898.5,2899.5,2845.5,2887.5,25294300
2025-03-27,72030,2780,2828.5,2771,2828.5,43353000,121741991200,1,2780,2828.5,2771,2828.5,43353000
2025-03-28,72030,2725,2728,2687,2700.5,44617200,120487462350,1,2725,2728,2687,2700.5,44617200
2025-03-31,72030,2630.5,2647,2583.5,2616,43466800,113943187850,1,2630.5,2647,2583.5,2616,43466800
2025-04-01,72030,2649,2656.5,2616.5,2630.5,26218100,69025421450,1,2649,2656.5,2616.5,2630.5,26218100
2025-04-02,72030,2630.5,2661,2594.5,2656,27800600,73352300850,1,2630.5,2661,2594.5,2656,27800600
2025-04-03,72030,2500.5,2582.5,2456.5,2518.5,63506800,159647109750,1,2500.5,2582.5,2456.5,2518.5,63506800
2025-04-04,72030,2440,2453,2337.5,2407.5,61167400,146419239150,1,2440,2453,2337.5,2407.5,61167400
2025-04-07,72030,2250,2355,2226.5,2266.5,72609600,165538306550,1,2250,2355,2226.5,2266.5,72609600
2025-04-08,72030,2357.5,2466,2351,2428.5,52545600,127514556050,1,2357.5,2466,2351,2428.5,52545600
2025-04-09,72030,2378.5,2419,2330,2365.5,45721300,108433489150,1,2378.5,2419,2330,2365.5,45721300
2025-04-10,72030,2615.5,2621,2508.5,2543,45889700,117112774900,1,2615.5,2621,2508.5,2543,45889700
2025-04-11,72030,2400,2441,2350.5,2420,46954000,112573911250,1,2400,2441,2350.5,2420,46954000
2025-04-14,72030,2444.5,2482,2409,2410,26268100,63917148250,1,2444.5,2482,2409,2410,26268100
2025-04-15,72030,2526,2546,2499,2499,29890700,75407584050,1,2526,2546,2499,2499,29890700
2025-04-16,72030,2497,2520,2461,2499,24370600,60749392950,1,2497,2520,2461,2499,24370600
2025-04-17,72030,2498.5,2520.5,2475,2498.5,23310300,58263930600,1,2498.5,2520.5,2475,2498.5,23310300
2025-04-18,72030,2506,2544,2496.5,2544,16944800,42829905250,1,2506,2544,2496.5,2544,16944800
2025-04-21,72030,2530.5,2538.5,2459,2470.5,22040800,54837651150,1,2530.5,2538.5,2459,2470.5,22040800
2025-04-22,72030,2458.5,2485,2440,2459,19734000,48526186150,1,2458.5,2485,2440,2459,19734000
2025-04-23,72030,2561,2590,2535,2582,34123500,87571934450,1,2561,2590,2535,2582,34123500
2025-04-24,72030,2627,2718,2619,2657.5,41886200,111585200250,1,2627,2718,2619,2657.5,41886200
2025-04-25,72030,2699.5,2712,2671.5,2690,29523200,79502368950,1,2699.5,2712,2671.5,2690,29523200
2025-04-28,72030,2724.5,2841,2719,2786.5,54204400,151596327850,1,2724.5,2841,2719,2786.5,54204400
2025-04-30,72030,2795.5,2801,2729,2729,41601700,114290499650,1,2795.5,2801,2729,2729,41601700
2025-05-01,72030,2727,2752.5,2708.5,2751,19049400,52216352550,1,2727,2752.5,2708.5,2751,19049400
2025-05-02,72030,2798,2822,2773,2780,36047900,100844827000,1,2798,2822,2773,2780,36047900
2025-05-07,72030,2760.5,2761,2702,2706,29981600,81575353850,1,2760.5,2761,2702,2706,29981600
2025-05-08,72030,2706,2740,2632.5,2671.5,47881900,128699217500,1,2706,2740,2632.5,2671.5,47881900
2025-05-09,72030,2750,2756.5,2685.5,2719.5,37497400,101964928000,1,2750,2756.5,2685.5,2719.5,37497400
2025-05-12,72030,2726,2758,2718.5,2753.5,20208500,55363846450,1,2726,2758,2718.5,2753.5,20208500
2025-05-13,72030,2853.5,2879.5,2846,2850,35248400,100806040800,1,2853.5,2879.5,2846,2850,35248400
2025-05-14,72030,2830,2832.5,2731,2749.5,24974000,69009078850,1,2830,2832.5,2731,2749.5,24974000
2025-05-15,72030,2709,2718,2647,2657,31659600,84333234300,1,2709,2718,2647,2657,31659600
2025-05-16,72030,2642,2652,2598,2642.5,23825700,62629977950,1,2642,2652,2598,2642.5,23825700
2025-05-19,72030,2642.5,2695,2621.5,2665,19721400,52691364650,1,2642.5,2695,2621.5,2665,19721400
2025-05-20,72030,2724.5,2727.5,2649.5,2672.5,25009100,67236001800,1,2724.5,2727.5,2649.5,2672.5,25009100
2025-05-21,72030,2700,2700,2662,2662.5,20330200,54371260550,1,2700,2700,2662,2662.5,20330200
2025-05-22,72030,2633,2634.5,2612,2620,19413100,50885562600,1,2633,2634.5,2612,2620,19413100
2025-05-23,72030,2647,2649.5,2620.5,2623.5,15124400,39778640550,1,2647,2649.5,2620.5,2623.5,15124400
2025-05-26,72030,2624,2633,2607.5,2621.5,14531700,38060756900,1,2624,2633,2607.5,2621.5,14531700
2025-05-27,72030,2609,2649.5,2604,2640,14424300,37868867100,1,2609,2649.5,2604,2640,14424300
2025-05-28,72030,2680,2680.5,2631.5,2631.5,19119300,50643366700,1,2680,2680.5,2631.5,2631.5,19119300
2025-05-29,72030,2707,2742,2697,2734.5,30752500,83726292650,1,2707,2742,2697,2734.5,30752500
2025-05-30,72030,2668.5,2769,2662,2769,57613100,158036856750,1,2668.5,2769,2662,2769,57613100
2025-06-02,72030,2737.5,2742.5,2686.5,2691,23342800,63041211150,1,2737.5,2742.5,2686.5,2691,23342800
2025-06-03,72030,2681.5,2684,2655,2675,17203100,45983955200,1,2681.5,2684,2655,2675,17203100
